AREA NAME,Total_Crimes,Avg_Victim_Age
Central,3517,28.481376172874608
77th Street,3115,29.15152487961477
Pacific,3004,28.9780292942743
Southwest,2831,29.04803956199223
Hollywood,2556,28.331377151799686
Newton,2537,25.054789121009065
Olympic,2523,27.732857709076495
N Hollywood,2503,28.346783859368756
Southeast,2459,28.3627490849939
Rampart,2388,26.273450586264655
Wilshire,2379,29.595628415300546
West LA,2249,30.30724766562917
Van Nuys,2162,31.748381128584644
West Valley,2114,30.640491958372753
Northeast,2103,28.73276271992392
Topanga,2076,34.01878612716763
Harbor,2052,26.98391812865497
Devonshire,2031,29.597735105859183
Mission,1933,29.609415416451114
Hollenbeck,1843,26.1584373304395
Foothill,1625,30.511384615384614
